cityName,country,lat,lng,temp,humidity,cloudiness,winds
gwadar,pk,25.12,62.33,85.81,97,76,4.74
lorengau,pg,-2.02,147.27,82.12,100,64,4.18
soldotna,us,60.48,-151.07,52.65,54,90,10.29
vaini,to,15.34,74.49,67.88,100,88,4.72
punta arenas,cl,-53.16,-70.91,33.8,100,90,10.29
tuktoyaktuk,ca,69.44,-133.03,35.6,93,90,14.99
busselton,au,-33.64,115.35,54.65,100,12,9.53
tiksi,ru,71.64,128.87,74.27,51,8,4.27
chokurdakh,ru,70.62,147.9,47.72,85,0,8.75
qaanaaq,gl,77.48,-69.36,32.6,95,44,3.04
tasiilaq,gl,65.61,-37.64,39.2,86,75,6.93
severo-kurilsk,ru,50.68,156.12,45.65,92,92,13.44
half moon bay,us,37.46,-122.43,88.63,18,1,11.41
srednekolymsk,ru,67.46,153.71,65.47,53,12,5.86
dilla,et,6.41,38.31,55.03,95,92,1.95
arraial do cabo,br,-22.97,-42.02,71.5,87,0,17.05
clyde river,ca,70.47,-68.59,41.0,75,20,3.36
vammala,fi,61.34,22.91,48.11,81,0,4.7
barrow,us,-38.31,-60.23,42.14,45,0,20.94
brae,gb,60.4,-1.35,50.76,87,92,13.87
arshan,ru,14.32,46.95,69.61,45,12,2.62
marawi,sd,8.0,124.29,77.62,86,64,3.18
bredasdorp,za,-34.53,20.04,57.2,71,76,8.05
ilovlya,ru,49.31,43.98,68.0,37,0,11.18
jamestown,sh,-33.21,138.6,56.29,48,0,6.2
namibe,ao,-15.19,12.15,69.61,99,0,3.85
ordu,tr,40.98,37.88,58.81,85,68,1.61
saint-philippe,re,45.36,-73.48,60.8,82,90,4.7
giaveno,it,45.04,7.35,62.6,82,40,3.36
faya,td,18.39,42.45,68.86,21,0,1.61
teya,ru,21.05,-89.07,75.2,94,90,7.65
hasaki,jp,35.73,140.83,69.8,94,75,3.36
xining,cn,36.62,101.77,69.61,47,12,3.06
acapulco,mx,16.86,-99.88,75.2,94,90,4.7
wabana,ca,47.63,-52.95,55.4,47,75,33.33
eskisehir,tr,39.78,30.52,59.0,87,40,6.93
nikolskoye,ru,59.7,30.79,59.0,62,0,4.47
upernavik,gl,72.79,-56.15,30.8,100,76,6.29
atherton,au,53.52,-2.49,48.79,93,36,2.24
derzhavinsk,kz,51.1,66.31,71.5,60,0,5.3
visnes,no,59.36,5.22,51.8,100,90,5.82
coruripe,br,-10.12,-36.18,77.8,96,80,16.04
rikitea,pf,-23.12,-134.97,76.61,100,80,13.44
tommot,ru,58.97,126.27,66.73,65,68,1.95
bluff,nz,-23.58,149.07,65.81,55,12,4.94
cabo san lucas,mx,22.89,-109.91,75.42,68,5,14.99
dikson,ru,73.51,80.55,32.15,99,88,13.0
veraval,in,49.65,0.71,52.39,76,0,3.36
cape town,za,-33.93,18.42,55.4,93,75,2.24
san jose,gt,15.79,120.99,81.04,92,88,2.51
beringovskiy,ru,63.05,179.32,43.4,100,92,9.98
goderich,sl,43.74,-81.71,64.66,97,68,3.74
muros,es,42.77,-9.06,66.2,93,0,3.96
longyearbyen,sj,78.22,15.63,48.2,42,0,12.75
sao filipe,cv,14.9,-24.5,73.28,100,8,12.1
port alfred,za,-33.59,26.89,63.38,91,0,21.05
kapaa,us,22.08,-159.32,84.2,66,20,20.8
hermanus,za,-34.42,19.24,54.38,85,56,6.62
isagarh,in,24.84,77.89,89.32,56,0,14.25
bandarbeyla,so,9.49,50.81,77.08,81,44,31.25
castro,cl,-42.48,-73.76,32.06,100,8,1.36
kavaratti,in,10.57,72.64,80.66,100,64,20.6
pascagoula,us,30.37,-88.56,84.54,100,75,6.93
khatanga,ru,71.98,102.47,51.59,88,80,12.66
adelaide,za,-34.93,138.6,55.4,76,75,3.36
santiago,ph,-33.44,-70.65,44.6,81,75,1.12
new norfolk,au,-42.78,147.06,50.0,61,75,12.75
atuona,pf,-9.8,-139.03,80.48,100,0,18.03
bethel,us,60.79,-161.76,53.6,58,90,4.7
kenai,us,60.55,-151.26,53.64,76,90,11.41
mahebourg,mu,-20.41,57.7,71.6,68,75,8.05
progreso,mx,-34.68,-56.22,46.4,52,40,18.34
eyl,so,7.98,49.82,79.87,77,32,23.87
petropavlovsk-kamchatskiy,ru,53.05,158.65,51.8,76,20,13.42
albany,au,42.65,-73.75,58.35,93,90,4.7
elat,il,2.91,11.16,67.9,100,88,1.95
hobyo,so,5.35,48.53,76.45,77,56,20.51
badulla,lk,6.99,81.06,78.34,71,24,2.84
nishihara,jp,35.74,139.53,69.21,94,75,8.05
ushtobe,kz,45.25,77.98,82.93,27,56,7.31
